Gene_id	Gene_name	Gene_description	HM_3	HM_2	HM_1	Bb_3	Bb_2	Bb_1	HM	Bb
gene-BBA_00001	BBA_00001	hypothetical protein	5.67	9.19	7.74	15.17	13.71	18.34	7.533333	15.74
gene-BBA_00002	BBA_00002	ABC transporter	0	0	0	0	0	0	0	0
gene-BBA_00003	BBA_00003	hypothetical protein	0	0	0	0	0	0	0	0
gene-BBA_00004	BBA_00004	cell wall associated protein	0.13	0	0.1	0.5	0.46	0.34	0.076667	0.433333
gene-BBA_00005	BBA_00005	ABC transporter transmembrane region	49.66	36.68	64.67	85.81	92.46	73.62	50.336667	83.963333
gene-BBA_00006	BBA_00006	hypothetical protein	4.04	4.22	5.36	9.35	6.01	9.38	4.54	8.246667
gene-BBA_00007	BBA_00007	iron only hydrogenase large subunit domain-containing protein	35.38	30.75	38.74	24.24	26.79	25.87	34.956667	25.633333
gene-BBA_00008	BBA_00008	hypothetical protein	37.22	29.68	36.08	61.56	63.49	54.53	34.326667	59.86
gene-BBA_00009	BBA_00009	hypothetical protein	51.22	42.33	49.33	119.66	136.02	115.72	47.626667	123.8
gene-BBA_00010	BBA_00010	hypothetical protein	1.25	1.93	1.78	6.02	5.54	6.54	1.653333	6.033333
gene-BBA_00011	BBA_00011	serine/threonine-protein kinase sck1	30.32	26.01	32.08	64.33	65.3	70.27	29.47	66.633333
gene-BBA_00012	BBA_00012	ATP synthase H chain	426	398.53	429.36	655.35	694.8	628.05	417.963333	659.4
gene-BBA_00013	BBA_00013	"cellobiose dehydrogenase, putative"	15.11	15.45	18.9	10.37	6.74	9.95	16.486667	9.02
gene-BBA_00014	BBA_00014	serine/threonine-protein kinase psk1	32.18	26.65	43.15	23.18	22.67	26.12	33.993333	23.99
gene-BBA_00015	BBA_00015	Transcription regulator cyclin	20.99	18.34	19.6	19.72	24.13	19.58	19.643333	21.143333
gene-BBA_00016	BBA_00016	U4/U6 small nuclear ribonucleoprotein Prp4	21.88	18.19	22.91	22.05	18.87	24.12	20.993333	21.68
gene-BBA_00017	BBA_00017	ABC transporter	0.34	0.22	0.48	0.34	0.13	0.27	0.346667	0.246667
gene-BBA_00018	BBA_00018	2OG-Fe(II) oxygenase family Oxidoreductase	0.13	0.1	0.1	0.1	0	0	0.11	0.033333
gene-BBA_00019	BBA_00019	tat pathway signal sequence	2.11	3.93	5.07	3.68	4.38	5.13	3.703333	4.396667
gene-BBA_00020	BBA_00020	glycerate dehydrogenase	17.23	17.77	18.03	45.48	30.43	47.85	17.676667	41.253333
gene-BBA_00021	BBA_00021	LSM domain-containing protein	53.2	52.42	43.4	57.59	59.98	59.96	49.673333	59.176667
gene-BBA_00022	BBA_00022	inosine-uridine preferring nucleoside hydrolase	75.45	76.02	78.91	51.83	55.44	56.65	76.793333	54.64
gene-BBA_00023	BBA_00023	hypothetical protein	175.11	162.36	192.81	86.22	85.83	99.35	176.76	90.466667
gene-BBA_00024	BBA_00024	hypothetical protein	29.55	31.74	31.9	52.84	48.89	59.36	31.063333	53.696667
gene-BBA_00025	BBA_00025	hypothetical protein	15.85	16.57	19.84	16.82	13.6	23.28	17.42	17.9
gene-BBA_00026	BBA_00026	hypothetical protein	0	0.39	0.54	0.4	0.12	0.73	0.31	0.416667
gene-BBA_00027	BBA_00027	Mitochondrial glycoprotein	121.68	130.95	137.13	163.96	186.09	169.72	129.92	173.256667
gene-BBA_00028	BBA_00028	oxysterol-binding family protein	73.93	78.95	56.48	63.86	84.06	44.63	69.786667	64.183333
